Time: 0 | Next_direction = x| State: x | Dir: x | GrnT: x | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: xx Light2: xx
Time: 5000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 0 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 25000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 1 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 35000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 2 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 45000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 3 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 55000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 4 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 65000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 5 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 75000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 6 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 85000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 7 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 95000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 8 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 105000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 9 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 115000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 10 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 125000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 11 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 135000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 12 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 145000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 13 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 155000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 14 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 165000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 15 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 175000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 16 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 185000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 17 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 195000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 18 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 205000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 19 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 215000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 20 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 225000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 21 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 235000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 22 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 245000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 23 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 255000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 24 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 265000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 25 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 275000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 26 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 285000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 27 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 295000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 28 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 305000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 29 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 315000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 30 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 325000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 31 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 335000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 32 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 345000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 33 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 355000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 34 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 365000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 35 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 375000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 36 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 385000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 37 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 395000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 38 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 405000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 39 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 415000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 40 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 425000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 41 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 435000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 42 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 445000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 43 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 455000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 44 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 465000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 45 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 475000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 46 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 485000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 47 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 495000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 48 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 505000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 49 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 515000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 50 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 525000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 51 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 535000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 52 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 545000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 53 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 555000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 54 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 565000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 55 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 575000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 56 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 585000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 57 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 595000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 58 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 605000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 59 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
Time: 615000 | Next_direction = 1| State: 0 | Dir: 1 | GrnT: 60 | L1: 0 L2: 0 L3: 0 L4: 0 | Light1: 10 Light2: 00
